a=0, b=7, c=9, d=6, e=3, f=2, g=1, m=8, n=4
a=0, b=4, c=7, d=2, e=8, f=3, g=1, m=5, n=9
a=0, b=4, c=7, d=2, e=8, f=6, g=5, m=9, n=3
a=0, b=4, c=7, d=2, e=8, f=6, g=3, m=9, n=1
a=0, b=3, c=6, d=1, e=8, f=2, g=9, m=4, n=7
a=0, b=3, c=6, d=1, e=8, f=2, g=7, m=4, n=5
a=0, b=3, c=6, d=1, e=8, f=5, g=4, m=7, n=2
a=0, b=3, c=6, d=1, e=8, f=7, g=4, m=9, n=2
a=1, b=7, c=4, d=6, e=8, f=2, g=5, m=9, n=3
a=0, b=7, c=3, d=2, e=1, f=4, g=8, m=6, n=9
a=0, b=7, c=3, d=2, e=1, f=6, g=4, m=8, n=5
a=0, b=9, c=2, d=1, e=8, f=3, g=6, m=5, n=4
a=0, b=9, c=2, d=1, e=8, f=5, g=6, m=7, n=4
a=0, b=9, c=2, d=1, e=8, f=4, g=7, m=6, n=5
a=0, b=9, c=2, d=1, e=8, f=4, g=5, m=6, n=3
a=0, b=8, c=4, d=3, e=2, f=6, g=5, m=9, n=7
a=0, b=8, c=3, d=2, e=4, f=6, g=7, m=9, n=1
a=0, b=8, c=3, d=2, e=4, f=7, g=1, m=9, n=5
a=0, b=8, c=2, d=1, e=6, f=4, g=3, m=5, n=9
a=0, b=7, c=2, d=1, e=4, f=6, g=9, m=8, n=3
a=0, b=3, c=7, d=2, e=1, f=4, g=8, m=6, n=9
a=0, b=3, c=7, d=2, e=1, f=6, g=4, m=8, n=5
a=0, b=9, c=3, d=2, e=7, f=1, g=8, m=4, n=5
a=3, b=8, c=2, d=7, e=6, f=1, g=4, m=9, n=0
a=0, b=9, c=3, d=2, e=7, f=5, g=4, m=8, n=1
a=0, b=9, c=3, d=2, e=7, f=4, g=1, m=6, n=8
a=0, b=4, c=8, d=3, e=2, f=6, g=5, m=9, n=7
a=0, b=9, c=4, d=3, e=6, f=2, g=1, m=5, n=7
a=0, b=9, c=4, d=3, e=6, f=5, g=1, m=8, n=7
a=0, b=3, c=8, d=2, e=4, f=6, g=7, m=9, n=1
a=0, b=3, c=8, d=2, e=4, f=7, g=1, m=9, n=5
a=0, b=2, c=7, d=1, e=4, f=6, g=9, m=8, n=3
a=4, b=3, c=2, d=8, e=6, f=0, g=5, m=9, n=1
a=0, b=7, c=6, d=4, e=2, f=3, g=9, m=8, n=1
a=0, b=2, c=8, d=1, e=6, f=4, g=3, m=5, n=9
a=0, b=7, c=6, d=4, e=2, f=5, g=1, m=9, n=3
a=0, b=2, c=9, d=1, e=8, f=3, g=6, m=5, n=4
a=0, b=2, c=9, d=1, e=8, f=4, g=5, m=6, n=3
a=0, b=2, c=9, d=1, e=8, f=4, g=7, m=6, n=5
a=1, b=6, c=3, d=4, e=8, f=0, g=9, m=5, n=7
a=0, b=2, c=9, d=1, e=8, f=5, g=6, m=7, n=4
a=0, b=6, c=7, d=4, e=2, f=3, g=9, m=8, n=1
a=0, b=6, c=7, d=4, e=2, f=5, g=1, m=9, n=3
a=0, b=3, c=9, d=2, e=7, f=1, g=8, m=4, n=5
a=0, b=3, c=9, d=2, e=7, f=4, g=1, m=6, n=8
a=0, b=4, c=3, d=1, e=2, f=5, g=7, m=6, n=9
a=0, b=3, c=9, d=2, e=7, f=5, g=4, m=8, n=1
a=1, b=9, c=2, d=3, e=8, f=0, g=7, m=4, n=5
a=0, b=4, c=3, d=1, e=2, f=8, g=5, m=9, n=7
a=1, b=8, c=2, d=3, e=6, f=0, g=9, m=4, n=5
a=0, b=3, c=4, d=1, e=2, f=5, g=7, m=6, n=9
a=1, b=8, c=2, d=3, e=6, f=5, g=4, m=9, n=0
a=0, b=4, c=9, d=3, e=6, f=2, g=1, m=5, n=7
a=0, b=9, c=6, d=5, e=4, f=2, g=7, m=8, n=1
a=0, b=9, c=6, d=5, e=4, f=1, g=8, m=7, n=2
a=0, b=3, c=4, d=1, e=2, f=8, g=5, m=9, n=7
a=0, b=4, c=9, d=3, e=6, f=5, g=1, m=8, n=7
a=1, b=7, c=2, d=3, e=4, f=5, g=6, m=9, n=0
a=0, b=7, c=4, d=2, e=8, f=3, g=1, m=5, n=9
a=0, b=7, c=4, d=2, e=8, f=6, g=3, m=9, n=1
a=0, b=7, c=4, d=2, e=8, f=6, g=5, m=9, n=3
a=0, b=9, c=7, d=6, e=3, f=2, g=1, m=8, n=4
a=0, b=6, c=9, d=5, e=4, f=2, g=7, m=8, n=1
a=0, b=6, c=3, d=1, e=8, f=2, g=7, m=4, n=5
a=0, b=6, c=3, d=1, e=8, f=2, g=9, m=4, n=7
a=0, b=6, c=9, d=5, e=4, f=1, g=8, m=7, n=2
a=0, b=6, c=3, d=1, e=8, f=5, g=4, m=7, n=2
a=0, b=6, c=3, d=1, e=8, f=7, g=4, m=9, n=2
